Age,Gender,Country,work_interfere,tech_company,care_options,mental_health_consequence,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
37,Female,United States,Often,Yes,Not sure,No,No,No,Maybe,Yes,No
44,M,United States,Rarely,No,No,Maybe,No,No,No,Don't know,No
32,Male,Canada,Rarely,Yes,No,No,No,Yes,Yes,No,No
31,Male,United Kingdom,Often,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
31,Male,United States,Never,Yes,No,No,No,Yes,Yes,Don't know,No
33,Male,United States,Sometimes,Yes,Not sure,No,No,No,Maybe,Don't know,No
35,Female,United States,Sometimes,Yes,No,Maybe,Maybe,No,No,Don't know,No
39,M,Canada,Never,Yes,Yes,No,No,No,No,No,No
42,Female,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,No
23,Male,Canada,Never,Yes,No,No,No,Maybe,Maybe,Yes,No
31,Male,United States,Sometimes,Yes,No,No,No,No,No,Don't know,No
29,male,Bulgaria,Never,Yes,Not sure,No,No,Yes,Yes,Don't know,No
42,female,United States,Sometimes,No,Yes,Yes,Yes,Maybe,Maybe,No,Yes
36,Male,United States,Never,Yes,Not sure,No,No,No,No,Don't know,No
27,Male,Canada,Never,Yes,Not sure,No,No,Maybe,Yes,Yes,No
29,female,United States,Rarely,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
23,Male,United Kingdom,Sometimes,Yes,No,Maybe,No,Maybe,Maybe,No,No
32,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,No,No
46,male,United States,Sometimes,Yes,Not sure,No,No,No,Yes,Yes,Yes
36,Male,France,NA,Yes,No,No,No,Maybe,Maybe,Don't know,No
29,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,No,No
31,male,United States,Never,Yes,No,No,No,No,Maybe,Yes,No
46,Male,United States,Often,Yes,Yes,Maybe,No,No,Maybe,No,No
41,Male,United States,Never,No,No,Maybe,No,No,Yes,Don't know,No
33,male,United States,Rarely,Yes,Not sure,No,No,No,Yes,Don't know,No
35,male,United States,Sometimes,No,Yes,Yes,No,No,Yes,No,No
33,male,United States,NA,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
35,Female,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Yes,No
34,male,United States,Sometimes,Yes,Not sure,No,No,No,No,No,No
37,Male,United Kingdom,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,No
32,Male,United Kingdom,Never,Yes,No,Yes,Yes,No,Maybe,No,No
31,Male,United States,Rarely,Yes,Yes,Yes,No,No,No,No,Yes
30,male,United Kingdom,Sometimes,Yes,No,Maybe,No,No,Yes,Don't know,No
42,Male,United States,Sometimes,Yes,Yes,Maybe,No,Maybe,Yes,Don't know,No
40,female,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Yes,No
27,Male,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
29,Male,Canada,Rarely,Yes,No,Yes,Maybe,No,No,Don't know,No
38,Male,Portugal,NA,Yes,Yes,Maybe,No,No,Maybe,No,No
50,M,United States,NA,Yes,Yes,No,No,No,Maybe,Don't know,No
35,M,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Yes,No
24,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,Yes,No,Yes
35,Male,United States,NA,Yes,Not sure,Yes,Yes,No,Maybe,Don't know,No
27,Male,Canada,Sometimes,Yes,Yes,Maybe,No,No,No,Yes,No
18,Male,Netherlands,Often,Yes,Not sure,Yes,Maybe,No,No,No,No
30,Male,United States,Sometimes,Yes,No,No,No,No,Maybe,Don't know,No
38,Female,United States,Sometimes,Yes,Yes,No,No,No,No,Yes,No
28,Male,United Kingdom,NA,Yes,Not sure,No,Maybe,Maybe,Yes,Don't know,No
34,Male,United States,NA,Yes,No,No,No,Maybe,Yes,Don't know,No
26,m,Canada,Sometimes,Yes,Yes,No,No,No,No,Yes,No
30,male,United States,Rarely,Yes,No,Maybe,No,No,No,Don't know,No
22,M,United States,Often,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
33,Male,United States,NA,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
31,M,United States,NA,Yes,No,Maybe,Maybe,Maybe,Maybe,Don't know,No
32,Male,United States,Never,Yes,Not sure,Maybe,No,No,No,Don't know,No
28,M,Switzerland,NA,Yes,No,No,No,No,Maybe,Don't know,No
27,Male-ish,United States,Rarely,Yes,Yes,Maybe,No,No,No,Don't know,No
32,maile,United States,NA,Yes,No,No,No,No,No,Yes,No
24,Male,United States,Sometimes,Yes,No,No,Maybe,Yes,Yes,No,No
26,Male,United States,NA,No,No,No,No,Maybe,Yes,Don't know,No
33,male,Canada,Often,Yes,No,Yes,No,No,Maybe,Don't know,No
44,Male,United States,Sometimes,No,No,Yes,Maybe,No,Maybe,Don't know,Yes
26,Female,Poland,Sometimes,Yes,Not sure,No,No,Maybe,Yes,Yes,No
27,Male,United Kingdom,Never,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
26,Male,France,NA,Yes,No,Yes,No,No,No,No,Yes
35,male,Canada,Sometimes,Yes,No,No,No,No,Maybe,Don't know,No
40,Male,United States,Sometimes,Yes,Yes,Yes,Maybe,No,No,No,Yes
23,Female,Australia,Often,Yes,Not sure,No,No,No,Maybe,Yes,No
36,M,United States,Sometimes,Yes,No,Maybe,No,Maybe,Yes,Yes,No
31,Female,United States,NA,No,No,Maybe,No,No,Maybe,Don't know,No
34,Male,United States,Rarely,Yes,No,Maybe,No,No,No,Don't know,No
28,m,France,Never,Yes,No,Maybe,No,No,No,Don't know,No
34,male,Canada,Never,Yes,Not sure,No,No,No,No,Don't know,No
23,Trans-female,United States,Rarely,Yes,Yes,Maybe,No,No,No,No,No
38,Male,United Kingdom,NA,Yes,No,No,No,Maybe,Yes,Yes,No
33,Male,United States,Never,Yes,Not sure,Maybe,No,No,Maybe,Yes,No
19,Male,United Kingdom,NA,Yes,Yes,Yes,No,No,Maybe,No,No
25,Male,United States,NA,Yes,Yes,No,No,Maybe,Yes,Yes,No
31,Male,United States,Sometimes,Yes,No,No,No,Maybe,Maybe,Yes,No
32,Male,United States,Sometimes,Yes,No,Yes,No,No,Yes,No,No
28,m,Germany,Never,Yes,No,No,No,Maybe,Yes,Yes,No
38,Male,United States,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
23,Male,United Kingdom,Never,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
30,male,Canada,Never,No,No,No,No,No,No,No,No
27,Cis Female,United States,Often,Yes,Yes,Maybe,Maybe,No,Maybe,Yes,No
33,Male,United States,Never,Yes,No,Yes,No,No,Maybe,No,No
31,Male,United States,NA,Yes,Not sure,No,No,Maybe,Maybe,No,No
39,Male,United Kingdom,Often,Yes,No,Maybe,No,No,Maybe,No,Yes
34,female,United States,Rarely,Yes,Not sure,Yes,Maybe,No,No,Don't know,No
29,F,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,Yes
32,M,United States,NA,Yes,No,No,No,No,No,Don't know,No
31,Male,United States,Never,Yes,Yes,No,No,No,No,Yes,No
40,male,United States,Sometimes,Yes,Yes,No,No,Yes,Yes,No,No
34,Male,United States,NA,Yes,No,Maybe,No,No,Maybe,Don't know,No
18,something kinda male?,Russia,NA,Yes,Yes,No,No,Yes,Yes,Don't know,No
25,F,Canada,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
29,male,United States,Never,Yes,No,No,No,Maybe,Maybe,No,No
24,Male,United States,Rarely,Yes,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
31,male,Mexico,Sometimes,Yes,No,No,No,Maybe,Yes,No,No
33,Cis Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,No
30,M,United States,Often,Yes,Yes,No,No,Maybe,Maybe,Yes,No
26,female,Canada,Sometimes,No,Yes,Yes,No,No,Maybe,No,Yes
44,Female,United States,Never,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
25,Male,United States,NA,Yes,No,No,No,No,No,Don't know,No
33,Male,United States,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
29,Male,United States,Never,Yes,Not sure,No,No,No,No,Don't know,No
35,Male,United States,Rarely,Yes,Not sure,No,No,No,No,Don't know,No
35,M,United States,Sometimes,Yes,Not sure,No,No,No,Maybe,No,No
28,Male,Brazil,Rarely,Yes,No,Maybe,No,No,No,Don't know,Yes
34,m,United States,Never,Yes,No,Maybe,No,No,No,Don't know,No
32,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Yes,No
22,Male,United States,Sometimes,Yes,Yes,Yes,No,No,Yes,No,No
28,Male,United States,Sometimes,Yes,Yes,No,No,No,Maybe,Yes,No
45,male,United States,Rarely,Yes,Yes,No,No,Yes,Yes,Yes,No
32,Male,United States,Never,Yes,Yes,Maybe,No,No,No,Don't know,No
28,male,United States,NA,Yes,No,Maybe,No,No,Maybe,Don't know,No
26,Male,United Kingdom,Never,Yes,No,No,No,No,No,Don't know,Yes
21,Male,United Kingdom,Often,No,Yes,Yes,No,No,Maybe,No,No
27,Male,Canada,Rarely,No,Yes,Maybe,No,No,No,Don't know,No
18,Male,United States,Rarely,Yes,No,No,No,No,No,Don't know,No
35,Male,United States,NA,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
29,Male,United States,Never,Yes,Yes,Yes,Yes,No,No,Don't know,No
25,Male,United States,NA,Yes,No,No,No,No,No,Don't know,No
33,Male,United States,Sometimes,Yes,No,No,No,No,Maybe,Yes,No
36,Male,United States,Often,Yes,No,Maybe,No,No,No,Don't know,No
27,Male,Canada,Never,No,Not sure,Maybe,No,No,Maybe,No,Yes
27,Male,United States,Never,Yes,No,Yes,No,No,Yes,Don't know,No
27,Male,United Kingdom,NA,Yes,No,No,No,No,No,Don't know,No
32,M,United States,Rarely,Yes,Yes,Yes,No,No,No,Don't know,No
31,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,No,Yes,No
19,male,Slovenia,Sometimes,Yes,No,Yes,Yes,No,No,Don't know,No
33,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Yes,No,No
32,male,United States,Rarely,Yes,Yes,Maybe,No,No,Yes,Don't know,No
27,Male,United States,Never,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
38,Male,Costa Rica,NA,Yes,Yes,No,No,Maybe,Yes,No,No
24,Male,Canada,Never,Yes,No,No,No,Maybe,Yes,Don't know,No
39,M,United Kingdom,Never,No,No,Yes,Maybe,No,No,Don't know,No
28,Male,United Kingdom,Never,Yes,No,No,No,Maybe,Maybe,Yes,No
39,Male,United States,Often,Yes,Not sure,No,No,No,No,Don't know,No
29,Female,United States,NA,Yes,No,Maybe,No,No,No,Don't know,No
22,m,Austria,NA,Yes,No,No,No,No,No,Don't know,No
38,Male,United States,Sometimes,Yes,No,Maybe,No,No,No,Don't know,No
37,Male,United Kingdom,Sometimes,No,Yes,Yes,Yes,No,Maybe,Yes,No
35,M,United States,Never,No,Not sure,Yes,No,No,Maybe,Don't know,No
-29,Male,United States,NA,No,No,No,No,No,No,Don't know,No
30,Female,United States,NA,Yes,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
37,Male,United States,Rarely,No,Yes,Maybe,Maybe,Maybe,Maybe,Don't know,No
24,M,United Kingdom,Never,Yes,No,Maybe,Maybe,No,No,Don't know,No
23,Male,United States,Sometimes,No,No,Yes,Yes,No,No,No,No
30,male,Ireland,Rarely,Yes,Yes,Yes,No,No,No,No,Yes
29,Female,United States,NA,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
19,Male,Canada,NA,Yes,Not sure,Maybe,No,Maybe,Maybe,Don't know,No
32,male,United States,Never,Yes,Not sure,No,No,No,Maybe,No,No
28,male,Poland,Rarely,Yes,No,No,No,Maybe,Yes,Yes,No
36,Male,United States,Never,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
37,Male,United Kingdom,Rarely,No,Yes,Yes,Maybe,No,Yes,No,Yes
25,Male,United States,Sometimes,No,No,Maybe,No,No,Maybe,No,No
27,Male,United States,Sometimes,Yes,No,No,No,No,Maybe,Don't know,No
26,male,United States,Often,No,Not sure,Yes,Maybe,No,Maybe,No,No
27,male,United States,Rarely,Yes,Yes,Maybe,No,No,No,Don't know,Yes
25,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,No,Don't know,Yes
36,Male,United Kingdom,Sometimes,No,Yes,Maybe,Maybe,No,Maybe,Don't know,Yes
25,F,United States,Sometimes,Yes,No,Yes,Yes,No,No,Don't know,No
31,M,United States,Never,Yes,No,No,No,No,No,Don't know,No
26,male,United States,Rarely,Yes,No,Maybe,No,No,No,Don't know,No
33,F,United States,Sometimes,Yes,Yes,No,No,No,Yes,Yes,No
27,Woman,United Kingdom,NA,Yes,Yes,No,No,No,Maybe,Yes,No
34,Male,United States,Never,Yes,No,Maybe,No,No,Maybe,Don't know,No
42,male,United States,NA,Yes,Yes,Maybe,No,No,Maybe,No,No
23,male,Ireland,Sometimes,Yes,No,Yes,No,No,Maybe,No,No
24,Male,United Kingdom,Rarely,Yes,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
26,Male,United Kingdom,Sometimes,Yes,Yes,No,No,No,No,Don't know,No
31,Male,United Kingdom,Often,Yes,No,Maybe,No,No,Maybe,Don't know,No
22,M,India,Never,Yes,Not sure,Yes,Maybe,Maybe,Maybe,No,No
23,Female,United States,NA,Yes,No,Maybe,Maybe,No,Maybe,Yes,No
34,Female,Canada,Sometimes,No,Yes,No,No,No,No,No,No
31,male,United States,Never,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
28,Male,United Kingdom,NA,No,Not sure,No,No,Maybe,Maybe,Yes,No
32,Female,United States,Often,Yes,Not sure,No,No,No,No,Yes,Yes
45,F,United States,Sometimes,Yes,No,No,No,No,No,Yes,No
33,Male,United States,NA,Yes,No,No,No,No,Maybe,Don't know,No
29,male,Mexico,Never,Yes,No,Maybe,Maybe,Maybe,Yes,No,No
26,f,India,Sometimes,No,No,Maybe,Maybe,No,No,Don't know,No
28,Female,United Kingdom,Never,Yes,No,No,No,Maybe,Maybe,Don't know,No
45,M,United States,Sometimes,Yes,Not sure,Yes,Yes,No,No,Don't know,No
43,Male,United States,Often,Yes,Not sure,Yes,Maybe,No,No,No,No
37,male,United States,NA,Yes,No,Yes,No,Maybe,Yes,No,No
24,Male,United Kingdom,Sometimes,Yes,No,Maybe,No,Maybe,Yes,Yes,No
26,Male,France,NA,Yes,Yes,No,No,No,Maybe,Yes,No
23,male,United Kingdom,NA,Yes,No,No,No,Maybe,Yes,Don't know,No
35,Female,United States,Never,Yes,Not sure,Maybe,No,No,No,Don't know,No
38,Female,South Africa,Often,Yes,Yes,Maybe,Maybe,No,Maybe,Don't know,Yes
28,Male,United States,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,No,No
28,Male,Russia,Sometimes,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
35,Male,United States,Rarely,Yes,No,No,No,No,No,Don't know,No
32,female,Germany,Sometimes,Yes,No,Yes,Yes,No,No,No,Yes
31,Mal,Italy,Never,Yes,No,Maybe,Maybe,No,Maybe,Don't know,No
35,Female,United States,Never,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
26,Male,United States,Rarely,Yes,No,No,No,No,Maybe,No,No
27,Male,United States,NA,Yes,Yes,Maybe,Maybe,No,Maybe,Yes,No
28,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,Don't know,No
27,Female,United States,Sometimes,Yes,No,No,No,No,No,Yes,No
34,female,United States,Sometimes,No,Yes,Maybe,No,No,No,Yes,No
41,male,United States,Often,Yes,Not sure,Maybe,Maybe,Maybe,Maybe,Don't know,No
37,Male,Ireland,Sometimes,Yes,Yes,Yes,No,No,Yes,Don't know,No
34,male,Austria,NA,Yes,No,No,No,No,No,Yes,No
32,Male,United Kingdom,Sometimes,Yes,Not sure,Yes,Maybe,No,No,No,Yes
21,Male,Canada,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
30,M,United States,Often,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
24,male,United States,Never,Yes,Not sure,No,No,No,No,Don't know,No
26,male,Bulgaria,NA,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
40,Female,United States,NA,Yes,Yes,No,No,No,No,Yes,No
37,Male,United Kingdom,Sometimes,No,No,Yes,Maybe,No,Maybe,Don't know,No
26,Male,United Kingdom,Often,Yes,No,Yes,No,No,Maybe,Don't know,No
32,F,United States,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,Yes
32,f,United States,Sometimes,No,Yes,No,No,No,Yes,Yes,No
27,female,United States,Sometimes,Yes,No,No,No,No,No,Don't know,No
30,Male,Germany,Often,Yes,Yes,No,No,Maybe,Yes,Yes,No
31,M,Canada,NA,Yes,Yes,No,No,No,No,Yes,No
29,F,United States,Never,No,No,Maybe,No,No,No,Don't know,No
41,Male (CIS),United States,NA,Yes,Not sure,Yes,No,No,No,Don't know,No
34,female,United States,NA,Yes,No,No,No,Maybe,Maybe,Yes,No
33,Male,United Kingdom,NA,Yes,No,No,No,Yes,Yes,Don't know,No
28,male,United States,Rarely,Yes,No,No,No,No,Maybe,Don't know,No
28,Male,United States,Sometimes,Yes,Yes,Yes,No,No,No,No,No
23,Male,United States,Never,Yes,Not sure,No,No,No,Yes,Yes,No
24,M,United States,NA,Yes,No,No,No,Maybe,Yes,Yes,No
32,male,United States,Rarely,Yes,Yes,No,No,No,Maybe,Yes,No
34,Male,Australia,Sometimes,Yes,Not sure,Yes,Yes,No,Maybe,Yes,No
24,Male,United States,Never,Yes,Not sure,Maybe,No,Maybe,Maybe,Yes,No
26,male,United Kingdom,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Yes,No
36,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Don't know,Yes
41,Male,United States,Rarely,Yes,Yes,Maybe,Maybe,Maybe,Maybe,No,No
38,Male,United Kingdom,Sometimes,No,Not sure,Yes,No,No,Maybe,No,No
38,Male,United States,Sometimes,Yes,Not sure,Maybe,Maybe,No,Maybe,No,No
30,male,Netherlands,NA,Yes,No,No,No,No,No,Yes,No
25,Male,United Kingdom,Never,Yes,No,Yes,Maybe,No,Maybe,No,No
37,Male,Canada,Often,Yes,Yes,Maybe,No,No,Yes,Don't know,No
34,Male,United Kingdom,NA,Yes,No,No,No,No,Yes,No,Yes
37,F,United States,Sometimes,No,Yes,No,No,No,Maybe,Yes,No
28,Female,Canada,Sometimes,No,Yes,No,No,No,No,No,Yes
22,Male,Sweden,NA,Yes,No,No,No,Maybe,Maybe,No,No
34,male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,No,Yes
33,M,United States,Sometimes,Yes,Yes,No,No,No,No,Don't know,No
25,Male,South Africa,NA,Yes,No,Maybe,No,No,Yes,No,No
27,Male,United States,Never,Yes,Yes,No,No,Maybe,Maybe,Yes,No
40,M,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,No,Yes
21,Male,United States,Often,No,No,Maybe,No,No,Maybe,Don't know,No
29,Male,United Kingdom,NA,No,No,No,No,Maybe,Yes,Yes,No
32,M,United States,Sometimes,Yes,No,Maybe,No,No,Yes,Don't know,No
29,f,United States,Rarely,No,Yes,Maybe,No,Maybe,Yes,Don't know,No
23,Male,United States,Sometimes,No,No,Maybe,No,No,Yes,Yes,No
28,Male,United States,NA,Yes,No,No,No,No,Maybe,Yes,Yes
31,male,United States,Rarely,Yes,Yes,No,No,No,Maybe,Yes,No
27,Male,United Kingdom,NA,No,Not sure,Maybe,Maybe,No,No,Don't know,No
24,Male,United States,Sometimes,Yes,No,No,No,Maybe,Maybe,Don't know,No
29,Male,Canada,Often,Yes,No,Yes,No,No,Maybe,Don't know,No
23,Female,United Kingdom,Sometimes,Yes,Not sure,Maybe,Maybe,No,Maybe,Yes,No
42,Male,United States,Never,Yes,Yes,No,No,No,No,Yes,No
24,Male,United Kingdom,NA,Yes,No,Yes,No,No,Yes,No,No
25,Male,Australia,Often,Yes,Yes,Yes,Maybe,No,Yes,No,Yes
27,Female,United States,Rarely,Yes,No,Maybe,Maybe,No,Maybe,Don't know,No
27,Male,Canada,Sometimes,Yes,Yes,Yes,Yes,No,Maybe,No,No
30,Male,United States,Sometimes,Yes,Yes,No,No,Maybe,No,Yes,No
29,male,Poland,Rarely,Yes,Yes,Maybe,No,No,Yes,No,No
43,Male,Canada,NA,Yes,Not sure,Maybe,No,Yes,Yes,Don't know,No
32,male,United States,NA,Yes,Yes,No,No,No,Maybe,Don't know,No
41,Male,United States,Sometimes,Yes,Yes,No,No,Yes,Yes,Yes,No
32,Male,United Kingdom,Sometimes,Yes,Not sure,Maybe,Maybe,Maybe,Maybe,Don't know,Yes
37,Female,United States,Often,Yes,Yes,Maybe,No,No,Yes,Don't know,No
32,Male,United States,Never,Yes,No,No,No,No,No,Don't know,No
30,Male,Ireland,Sometimes,Yes,No,No,No,No,Maybe,No,No
23,female,United States,Never,No,No,No,No,Maybe,Maybe,Yes,No
30,Male,United States,NA,Yes,Yes,No,No,No,No,Yes,No
34,male,United Kingdom,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
38,Male,United States,Rarely,Yes,No,Yes,No,No,Maybe,No,No
33,Male,Canada,NA,Yes,No,No,No,No,No,Don't know,No
34,male,United States,NA,No,No,Maybe,No,No,No,Don't know,No
28,male,Colombia,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
28,male,United States,Rarely,No,Yes,Maybe,No,No,No,Yes,No
23,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,No,No
22,Male,Australia,Sometimes,Yes,Not sure,Maybe,No,No,Yes,No,Yes
27,male,Portugal,Never,Yes,No,Yes,No,No,Maybe,Don't know,No
18,male,United States,Sometimes,Yes,No,Yes,No,No,Maybe,Don't know,No
35,male,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,Don't know,No
25,Male,Canada,NA,No,Not sure,No,No,No,Yes,No,No
27,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,Yes,Yes,Yes,No
26,Female,United States,Rarely,Yes,Not sure,Maybe,No,No,No,Don't know,No
18,Male,United States,Never,Yes,Not sure,No,No,No,Maybe,Yes,No
38,Female,United States,Sometimes,Yes,Yes,No,Maybe,No,No,Don't know,Yes
26,Female,United States,Rarely,Yes,Yes,Maybe,No,No,No,Don't know,No
30,Male,Switzerland,Never,Yes,No,No,No,No,No,Yes,No
35,male,United States,Never,Yes,No,Yes,Maybe,No,No,Don't know,No
45,male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
32,Male,United States,Never,Yes,No,Maybe,No,No,No,Don't know,No
56,Male,United States,Never,Yes,Not sure,No,Maybe,No,Maybe,Don't know,No
24,Female,United States,NA,Yes,Not sure,Maybe,Maybe,No,Maybe,No,No
30,F,United States,Sometimes,Yes,Yes,No,No,No,Yes,Yes,No
60,male,United States,NA,Yes,No,No,No,Maybe,Maybe,Yes,No
33,Male,United States,Sometimes,Yes,No,Yes,No,No,Maybe,Don't know,No
37,M,United States,Never,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
23,Female,United States,Sometimes,Yes,Yes,No,No,No,No,Yes,No
31,f,United States,Sometimes,Yes,Not sure,No,No,No,No,Yes,No
26,Male,United States,Rarely,Yes,Not sure,No,No,No,Maybe,Don't know,No
28,female,United States,Often,No,Yes,Yes,No,No,No,Yes,No
37,F,United States,Rarely,Yes,Yes,No,No,No,No,Yes,No
26,male,Canada,Often,Yes,No,Maybe,No,Maybe,Maybe,Yes,No
30,queer/she/they,United States,Rarely,Yes,Not sure,Maybe,No,No,No,Don't know,No
26,M,United States,NA,Yes,No,No,No,No,No,Don't know,Yes
25,Male,United States,NA,Yes,Not sure,No,No,No,No,Don't know,No
27,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
25,Male,Canada,Often,No,No,Yes,Maybe,No,Maybe,Don't know,No
35,male,United States,Rarely,Yes,Not sure,No,No,No,No,Don't know,No
