Age,Gender,Country,work_interfere,tech_company,care_options,mental_health_consequence,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
36,Male,United States,Never,Yes,Yes,Maybe,No,No,No,Yes,No
26,Male,United States,Sometimes,Yes,Not sure,Yes,No,No,No,No,No
27,Male,United States,NA,Yes,No,No,No,Maybe,Maybe,Yes,No
30,male,United States,NA,No,Not sure,Maybe,Maybe,No,No,Don't know,No
29,M,United States,NA,No,Not sure,Maybe,No,No,Maybe,Don't know,No
25,Male,United States,Never,No,Yes,No,No,Maybe,Maybe,Yes,No
22,Female,United States,Often,Yes,Yes,Maybe,No,No,No,Yes,Yes
29,male,Latvia,NA,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
41,Male,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Yes,No
29,Male,United States,Sometimes,Yes,No,Yes,No,No,Maybe,No,No
32,Male,United States,Never,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
24,female,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
25,Male,United States,Rarely,Yes,No,Maybe,No,No,No,Don't know,No
25,m,United States,NA,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
30,Female,United States,Never,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
25,Male,United States,Sometimes,Yes,Not sure,No,No,No,No,Yes,No
30,Male,United States,Never,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
33,male,Germany,Rarely,No,No,Yes,Yes,Maybe,No,Yes,Yes
24,Male,United States,NA,Yes,Not sure,No,No,No,Maybe,Yes,No
25,Male,Canada,Sometimes,Yes,Yes,Yes,Maybe,No,No,No,No
31,Male,United States,NA,No,No,Maybe,No,No,Yes,No,No
45,Male,Ireland,Often,Yes,No,No,No,No,No,Don't know,No
29,m,Romania,NA,No,Yes,Maybe,Maybe,Maybe,Maybe,No,No
46,M,United States,Never,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
30,Male,United Kingdom,Sometimes,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
29,F,United States,Sometimes,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
24,Male,United States,NA,Yes,Yes,Yes,No,No,Maybe,Don't know,No
29,male,United States,NA,Yes,Yes,No,No,No,Maybe,Yes,No
35,Male,United States,NA,No,Not sure,No,No,No,No,No,No
33,f,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,No,No
27,Male,United States,Sometimes,Yes,Not sure,Yes,No,No,Maybe,No,No
36,Male,United States,NA,Yes,Not sure,Maybe,No,No,No,Don't know,No
33,Male,United Kingdom,Rarely,Yes,No,Yes,Maybe,No,Maybe,No,No
25,F,United States,Sometimes,Yes,Yes,No,No,No,No,Don't know,No
23,Male,United States,Sometimes,No,No,No,No,Maybe,Yes,Don't know,No
54,M,United States,Never,Yes,No,No,No,No,No,Don't know,No
22,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Don't know,No
25,non-binary,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Yes,No
29,Male,Belgium,Often,No,No,Maybe,No,Maybe,Maybe,Don't know,No
27,Male,United States,Sometimes,Yes,Yes,No,No,No,Yes,Yes,No
30,Male,United Kingdom,Never,Yes,No,No,No,No,Maybe,Yes,No
26,male,United States,Often,Yes,Not sure,Maybe,No,No,No,Don't know,No
25,Female,Sweden,Sometimes,Yes,Yes,No,No,No,No,No,No
31,Male,United States,Sometimes,No,Yes,No,No,No,No,No,No
33,M,United States,Sometimes,Yes,Not sure,Maybe,No,No,No,Don't know,No
34,M,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
34,Male,United States,Sometimes,Yes,No,Yes,Yes,No,Maybe,Don't know,No
29,M,United States,NA,Yes,Yes,No,No,Maybe,Maybe,Yes,No
33,Femake,United States,NA,Yes,No,Maybe,No,No,No,Don't know,No
34,male,Germany,Rarely,Yes,No,No,No,No,Maybe,Yes,No
26,male,United States,Rarely,No,No,Maybe,No,No,Yes,No,No
32,Male,United States,Rarely,No,Yes,No,No,No,Yes,Yes,No
329,Male,United States,Often,Yes,Yes,Maybe,No,No,No,No,No
28,Male,United States,Sometimes,Yes,Not sure,Maybe,Maybe,No,No,No,No
35,Male,United States,NA,Yes,No,No,No,No,No,Don't know,No
36,Male,United States,Often,Yes,Yes,No,No,No,No,Don't know,No
21,Male,United States,Rarely,Yes,No,No,No,Maybe,Maybe,Don't know,No
21,Male,United Kingdom,Sometimes,No,Not sure,Yes,No,No,Maybe,No,No
22,F,United States,NA,Yes,No,No,No,No,No,Yes,No
41,m,United States,Often,Yes,No,Maybe,No,No,Maybe,No,Yes
55,M,United States,Rarely,Yes,Yes,No,No,No,No,Yes,No
32,F,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Yes,No
21,F,United States,Rarely,Yes,Not sure,Yes,No,No,Yes,Don't know,No
45,M,United States,Never,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
27,female,United States,Rarely,Yes,Yes,Yes,Maybe,No,No,No,No
25,Female,United States,Sometimes,Yes,No,Maybe,No,No,No,Yes,No
34,woman,United States,Rarely,No,Yes,Maybe,Maybe,No,No,Yes,No
26,F,United States,Never,Yes,Yes,Maybe,No,No,No,Don't know,No
41,Male,Canada,Never,Yes,Not sure,No,No,No,No,Don't know,No
27,Male,United States,Rarely,Yes,No,No,No,No,Maybe,Yes,No
31,Make,United States,Sometimes,Yes,No,No,No,No,No,Don't know,No
25,Male,Germany,Often,Yes,No,No,No,No,Yes,No,No
26,M,United States,Sometimes,Yes,No,Yes,Yes,No,No,No,No
27,female,United States,Rarely,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
42,Male,New Zealand,Never,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
29,Nah,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,No,No
25,female,United States,Sometimes,Yes,Not sure,Yes,No,No,Maybe,Don't know,No
33,Female,Sweden,Rarely,Yes,Yes,Maybe,No,No,Yes,Don't know,No
99999999999,All,Zimbabwe,Often,Yes,Yes,Yes,Yes,Yes,No,No,Yes
40,female,United States,Rarely,No,No,Maybe,Maybe,No,No,Don't know,No
31,Male,United States,Never,Yes,No,Yes,No,No,No,Don't know,No
26,Male,Canada,Often,Yes,No,No,No,No,No,Yes,No
24,female,United States,NA,No,No,Yes,Maybe,No,Maybe,No,Yes
29,Male,United States,Never,No,Not sure,Maybe,No,No,No,Don't know,No
48,M,United Kingdom,NA,Yes,No,Maybe,Maybe,No,No,No,No
35,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,No,Yes
32,female,United States,Never,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
29,Male,Canada,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,Yes,No
26,Male,United States,Often,Yes,Yes,Maybe,No,No,No,No,No
28,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,No
23,male,United States,NA,Yes,No,No,No,No,Maybe,No,No
35,M,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,Maybe,No,Yes
29,male,Germany,Sometimes,Yes,No,Maybe,No,Maybe,Maybe,Don't know,No
26,Male,United States,NA,Yes,Yes,No,No,Maybe,Maybe,No,No
33,Male,United States,Never,Yes,Yes,Yes,Maybe,No,No,Yes,No
33,Male,United States,NA,Yes,No,Yes,No,No,Maybe,Yes,No
22,Male,Brazil,Never,Yes,No,No,No,Maybe,No,Don't know,No
30,female,Spain,NA,Yes,No,Yes,Maybe,No,No,Don't know,No
33,male,United States,Often,Yes,Yes,Yes,No,No,No,No,No
31,Female,United States,Rarely,No,Not sure,Yes,Maybe,No,Maybe,No,No
21,male,United States,Never,Yes,Not sure,No,No,No,Maybe,Don't know,Yes
31,Enby,United Kingdom,Sometimes,Yes,No,Yes,Maybe,No,Yes,Yes,No
26,F,United States,Sometimes,Yes,Not sure,No,No,No,No,Yes,No
30,Male,United States,Often,Yes,No,Maybe,No,No,No,Don't know,No
30,fluid,Germany,Sometimes,Yes,Not sure,No,No,Maybe,Maybe,No,No
23,Male,India,NA,Yes,No,No,No,Maybe,Maybe,No,No
34,Male,Finland,Never,Yes,No,No,No,No,Maybe,Don't know,No
55,M,United States,Sometimes,Yes,Yes,Yes,Maybe,No,No,No,Yes
28,male,Germany,Rarely,Yes,No,No,No,No,No,Yes,No
26,M,Uruguay,NA,Yes,No,No,No,No,Yes,Don't know,No
28,Male,New Zealand,Sometimes,Yes,Yes,No,No,Yes,Yes,Yes,No
32,Male,United Kingdom,Sometimes,Yes,No,No,No,No,No,Don't know,No
28,Female,United States,Rarely,No,Yes,Maybe,No,No,No,Don't know,No
21,M,United States,Sometimes,No,Not sure,No,No,Maybe,Maybe,Yes,No
24,Male,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,No,Yes
26,Female,United States,NA,No,Not sure,Maybe,No,No,No,Don't know,No
23,Male,United States,NA,No,No,No,No,No,Yes,Don't know,No
24,Female,United States,NA,Yes,Yes,No,No,Yes,Yes,Yes,No
28,Male,Canada,Never,Yes,No,Maybe,No,No,No,Yes,No
24,F,United States,Rarely,Yes,No,Yes,No,No,Yes,Yes,No
33,male,United States,Often,Yes,No,Yes,Maybe,Yes,Yes,Don't know,No
34,male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Don't know,No
27,female,United States,Sometimes,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
28,Male,United States,Never,Yes,No,No,No,No,No,Don't know,No
26,Male,United States,NA,Yes,Not sure,No,No,No,No,Don't know,Yes
20,Male,Australia,NA,Yes,Not sure,No,No,No,No,Don't know,No
23,female,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
29,Male,United States,Rarely,Yes,Yes,No,No,Maybe,Maybe,Yes,No
26,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,No,No
36,Male,United States,Rarely,Yes,No,Maybe,No,No,No,Don't know,No
41,m,United States,Sometimes,Yes,Yes,Maybe,No,Maybe,Yes,Yes,Yes
33,female,United States,NA,Yes,No,No,No,No,No,Yes,No
23,M,Canada,Sometimes,Yes,Yes,No,No,No,No,Yes,No
39,Male,United States,Often,Yes,No,Yes,No,No,Maybe,No,Yes
34,M,United States,NA,Yes,Not sure,Maybe,No,No,Maybe,Don't know,Yes
26,F,United States,Sometimes,Yes,Yes,Yes,Maybe,No,No,No,Yes
24,Male,United States,Rarely,Yes,Yes,No,No,No,No,Don't know,No
37,Male,Canada,Rarely,No,Yes,Maybe,Maybe,No,No,Don't know,No
43,Male,United States,Often,Yes,Yes,No,No,Maybe,Maybe,Yes,No
40,Genderqueer,United States,Never,Yes,Yes,Yes,Maybe,No,Maybe,Yes,No
30,male,United States,Often,Yes,Yes,Yes,No,No,No,No,Yes
34,M,United States,Sometimes,Yes,Not sure,Yes,Yes,No,No,Don't know,No
27,Male,United States,Sometimes,Yes,Not sure,Yes,No,No,Yes,Don't know,No
36,Male,United States,Sometimes,Yes,No,No,No,Maybe,Yes,Don't know,No
27,Male,Brazil,Rarely,Yes,Yes,Maybe,No,No,Maybe,No,No
35,Male,Netherlands,Never,Yes,No,Yes,No,No,Maybe,Don't know,No
32,Male,United Kingdom,Never,Yes,No,Maybe,No,No,Yes,Yes,No
37,M,United States,NA,Yes,No,Maybe,Maybe,No,No,Don't know,No
29,Male,United Kingdom,NA,Yes,No,No,No,Maybe,Maybe,Yes,No
33,Female ,United States,Never,Yes,Not sure,Maybe,No,No,No,Yes,No
28,Make,United States,Sometimes,Yes,Yes,Yes,Maybe,No,No,Don't know,No
26,Female,United States,Never,Yes,Not sure,Maybe,Maybe,No,Maybe,No,No
27,M,United States,Sometimes,Yes,No,Yes,No,No,Maybe,Yes,No
38,Male,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,Yes,No
57,M,United States,Rarely,Yes,Yes,Maybe,No,No,Maybe,No,No
28,Male,United Kingdom,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,No
26,male,France,Never,Yes,Yes,Maybe,No,Maybe,Maybe,No,No
42,f,Netherlands,Rarely,Yes,Yes,Yes,No,No,Maybe,Don't know,No
31,Male,United States,Sometimes,Yes,Yes,No,No,No,No,Yes,No
58,Male,United States,Rarely,Yes,Yes,Maybe,No,No,Yes,Yes,No
29,Male,United States,Sometimes,Yes,No,Yes,No,No,Maybe,No,No
39,Female,United Kingdom,Sometimes,Yes,Yes,Yes,No,No,Maybe,No,Yes
34,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Don't know,No
57,Male,United States,Sometimes,Yes,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
27,Male,Germany,Sometimes,Yes,Not sure,Yes,Maybe,No,No,No,Yes
23,male,Germany,Often,Yes,No,No,Maybe,Maybe,Yes,Don't know,No
18,male,Finland,NA,No,No,Yes,No,No,Maybe,Don't know,No
30,female,United States,NA,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
23,Male,United States,Never,No,Not sure,No,No,Maybe,Yes,Yes,No
43,M,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Yes,Don't know,No
18,Female,United Kingdom,Sometimes,Yes,Not sure,Maybe,Maybe,Maybe,Maybe,Don't know,No
29,male,United States,Rarely,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
48,M,United States,Never,Yes,No,Maybe,No,No,Maybe,Don't know,No
43,male,Germany,Sometimes,No,Yes,Maybe,No,No,Yes,No,Yes
28,Female,United States,Sometimes,Yes,Not sure,Yes,Maybe,No,Maybe,Don't know,No
30,Male,United States,Often,Yes,Yes,No,No,No,No,Yes,No
26,Male,Israel,Sometimes,Yes,No,Maybe,No,No,Maybe,Yes,No
33,Male,Italy,Never,No,No,Maybe,Maybe,No,No,No,No
31,Male,United States,NA,Yes,Not sure,No,No,No,No,Yes,No
30,M,United States,Rarely,No,Not sure,No,No,No,No,Don't know,No
27,Male,Israel,NA,Yes,No,Yes,No,No,Maybe,No,Yes
24,Female,United States,Sometimes,Yes,No,No,No,No,No,Don't know,Yes
25,male,United States,NA,Yes,Not sure,Maybe,No,No,No,Don't know,No
23,Female,United States,Often,Yes,Not sure,Maybe,No,No,No,Yes,Yes
36,m,United States,Sometimes,No,Not sure,Yes,Maybe,No,No,No,Yes
25,female,United States,Often,Yes,Not sure,Yes,No,No,Maybe,No,Yes
54,Male,United Kingdom,Sometimes,No,Yes,No,No,Maybe,Maybe,No,No
34,Male,Netherlands,Rarely,Yes,Not sure,No,No,No,Maybe,Yes,No
38,female,United States,NA,Yes,Yes,Maybe,Maybe,No,No,No,No
40,Male,Ireland,NA,Yes,No,Yes,Maybe,No,Maybe,No,Yes
32,male,United Kingdom,NA,Yes,Not sure,No,No,No,Maybe,Don't know,No
25,Male,Germany,Never,No,Not sure,No,No,No,Yes,Don't know,No
35,Female,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,No,No
46,male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Yes,No
42,male,United States,Never,No,No,Maybe,No,Maybe,Yes,No,No
32,male,United Kingdom,Sometimes,Yes,No,No,No,Maybe,Maybe,Yes,No
47,M,United States,Sometimes,Yes,Yes,No,No,No,Yes,Yes,No
22,Male,United States,NA,Yes,Not sure,No,No,No,Maybe,Yes,No
33,Female,United States,Sometimes,Yes,Yes,No,No,No,No,Don't know,No
25,f,United States,Sometimes,Yes,No,Maybe,No,No,No,Yes,No
29,M,United States,NA,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
39,Male,United States,Never,Yes,Yes,No,No,No,No,Yes,No
38,male,United States,Sometimes,Yes,Not sure,Yes,No,No,No,No,No
43,Male,United States,NA,Yes,No,Maybe,No,No,No,Don't know,No
46,Male,United States,Rarely,Yes,Not sure,No,No,No,Maybe,Yes,No
38,Female,United States,Sometimes,No,Yes,Maybe,No,No,No,No,Yes
33,Male,Germany,Sometimes,Yes,Yes,Yes,Yes,No,Maybe,No,No
34,Male,United Kingdom,Often,Yes,Yes,Maybe,Maybe,No,No,No,No
62,M,United States,Never,Yes,Yes,Maybe,No,Maybe,Maybe,Yes,No
23,F,United States,NA,No,Not sure,Maybe,Maybe,No,No,Don't know,No
35,Male,United States,NA,No,No,Maybe,Maybe,No,No,No,No
25,Male,Bosnia and Herzegovina,Rarely,Yes,Not sure,Maybe,Yes,No,No,Don't know,Yes
36,M,United States,Sometimes,Yes,Yes,Maybe,No,No,Yes,Yes,No
41,Female,United States,Rarely,Yes,Yes,Maybe,Maybe,No,No,Yes,No
24,male,Austria,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
51,Male,New Zealand,Sometimes,Yes,Yes,Yes,Yes,No,No,Don't know,Yes
29,M,United States,Sometimes,Yes,Yes,No,No,No,No,Yes,No
31,Female,Canada,Sometimes,Yes,Not sure,Maybe,Maybe,No,No,Yes,No
27,Male,United Kingdom,NA,Yes,No,No,No,No,Yes,Don't know,No
31,Male,Australia,Rarely,Yes,Yes,No,No,Yes,Yes,No,No
27,female,Hungary,Sometimes,Yes,No,Yes,Maybe,No,Maybe,No,No
23,Male,Sweden,Rarely,Yes,No,No,No,Maybe,Maybe,Yes,No
21,Male,Canada,Never,Yes,Not sure,Yes,Maybe,No,Maybe,Don't know,No
27,Female,Australia,Sometimes,Yes,Yes,Yes,No,No,No,No,No
39,M,United States,Often,Yes,Yes,Yes,No,No,No,No,No
26,M,United States,Never,Yes,No,Maybe,No,No,No,No,No
27,Male,United Kingdom,Never,Yes,No,Maybe,Maybe,No,No,Don't know,No
22,Female,United States,Sometimes,Yes,Yes,No,No,No,No,No,Yes
26,F,United States,Often,No,No,Maybe,No,No,Maybe,No,No
31,Female,United States,Rarely,Yes,Yes,No,No,No,No,Yes,No
32,male,United Kingdom,Never,Yes,No,No,No,Yes,Yes,Yes,No
28,female,United States,Often,Yes,No,Yes,Yes,No,No,No,Yes
28,Androgyne,United Kingdom,Rarely,Yes,Not sure,Yes,Yes,Yes,No,No,Yes
23,female,United Kingdom,NA,Yes,Not sure,Maybe,No,No,Yes,Yes,No
30,Male,United Kingdom,Never,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
36,Male,United States,Sometimes,Yes,No,Yes,No,No,Yes,No,No
21,M,United States,NA,Yes,Yes,No,No,No,Maybe,Yes,No
30,male,Germany,Often,Yes,No,Maybe,No,Maybe,Yes,Don't know,No
25,Woman,United States,NA,No,Not sure,Maybe,No,No,Maybe,Don't know,No
32,Male,New Zealand,Sometimes,Yes,No,No,No,Maybe,Yes,Don't know,No
29,female,Canada,Sometimes,Yes,No,Maybe,No,No,No,Yes,No
21,Agender,United Kingdom,Sometimes,Yes,Yes,Maybe,No,No,No,Yes,No
27,Female,New Zealand,Rarely,Yes,No,Maybe,Maybe,No,Yes,Don't know,No
32,Female,Canada,Often,No,Not sure,Maybe,No,No,No,Don't know,No
34,M,Australia,Sometimes,Yes,Yes,No,No,No,Maybe,Yes,No
33,M,United States,NA,Yes,No,Yes,No,No,Maybe,Don't know,No
22,Male,Netherlands,Sometimes,Yes,Not sure,No,No,Maybe,Yes,Yes,No
24,M,United States,NA,Yes,Not sure,Maybe,Maybe,No,No,Yes,No
65,Male,United States,NA,No,No,Maybe,No,No,No,Yes,No
27,Male,United States,Sometimes,Yes,No,No,No,No,No,Yes,No
33,Male,Australia,Never,Yes,Not sure,No,No,Maybe,Yes,Yes,No
36,Male,United States,Rarely,Yes,Not sure,No,No,No,No,Don't know,No
40,Male,Canada,Never,Yes,No,No,No,No,No,No,No
28,male,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,No
39,Male,United States,Sometimes,Yes,Not sure,Yes,Maybe,No,Maybe,Don't know,No
32,Male,United States,Sometimes,Yes,No,No,No,Maybe,Yes,Don't know,No
31,male,United States,Sometimes,Yes,Not sure,Maybe,No,No,Yes,No,No
38,Make,United States,Sometimes,Yes,No,Maybe,Maybe,No,No,Don't know,No
23,Male,United States,Rarely,Yes,Yes,Maybe,No,No,No,Yes,No
42,Make,United States,Often,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Don't know,No
27,Female,United States,Sometimes,Yes,Not sure,No,No,No,No,Yes,No
26,Female,United States,Sometimes,Yes,Yes,No,No,No,No,No,Yes
50,Male,United States,Never,Yes,Yes,No,No,No,Maybe,No,No
37,Male,United States,Never,Yes,No,No,No,No,No,Yes,No
23,Male,United States,NA,Yes,No,No,No,No,Maybe,Don't know,No
33,M,United States,Sometimes,Yes,Not sure,No,No,No,No,Yes,No
29,male,Canada,Never,Yes,Yes,Yes,No,No,Yes,No,No
34,Male,United States,Sometimes,No,No,Maybe,No,No,Maybe,Don't know,No
41,male,United States,Often,Yes,No,Maybe,Maybe,No,No,Don't know,Yes
50,Male,United States,NA,Yes,No,No,No,Maybe,Maybe,Don't know,No
29,Male,Canada,Never,No,Not sure,Maybe,No,No,Maybe,Don't know,Yes
35,Male,United States,Never,Yes,Yes,No,No,Maybe,Maybe,Yes,No
27,Male,Singapore,Sometimes,Yes,No,Yes,No,No,No,No,No
40,Female,United States,Never,No,Not sure,Maybe,Maybe,Maybe,Maybe,Don't know,No
27,Male,Australia,Often,Yes,No,Maybe,No,No,Maybe,No,Yes
29,f,United States,Never,Yes,Yes,Maybe,No,No,Maybe,Don't know,Yes
31,Male,United States,Sometimes,Yes,No,Maybe,No,No,Maybe,Don't know,No
43,Male,United States,Sometimes,Yes,Yes,No,No,No,Maybe,Don't know,No
34,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,Yes,Don't know,Yes
29,Male,United States,Sometimes,Yes,No,Yes,No,No,Maybe,Don't know,No
19,Male,Canada,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,Don't know,No
41,m,United States,Sometimes,Yes,Not sure,Maybe,No,No,No,No,No
29,Male,United States,Never,Yes,Yes,No,No,No,Maybe,Yes,No
23,Male,United States,Rarely,Yes,Not sure,No,No,No,No,Yes,No
24,Female,United States,Sometimes,Yes,Not sure,Yes,Maybe,No,No,No,Yes
31,M,United States,NA,Yes,No,Yes,No,No,Maybe,Don't know,No
43,Male,United States,NA,Yes,Not sure,No,No,No,No,Yes,No
31,Male,United States,Rarely,Yes,No,Yes,Yes,No,No,No,Yes
29,Male,United States,Often,Yes,Yes,No,No,No,No,Don't know,No
35,Male,United States,NA,Yes,No,No,No,No,Maybe,Yes,No
33,Male,United States,Sometimes,No,Not sure,Yes,Yes,No,No,No,No
30,cis-female/femme,United States,Often,No,Yes,No,No,No,No,Yes,No
27,male,United States,NA,Yes,Not sure,Maybe,Maybe,No,Maybe,No,No
32,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,No,No
50,Male,United States,Sometimes,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
24,male,United States,Never,No,Not sure,Maybe,Yes,No,Maybe,No,No
27,Male,United States,NA,Yes,No,No,No,No,Maybe,Yes,No
27,Male,Australia,Never,Yes,No,Yes,No,No,Maybe,Don't know,No
32,Male,United States,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
42,Male,United States,Rarely,No,Yes,No,No,Maybe,Maybe,Yes,No
37,Male,United States,Often,No,No,Maybe,No,No,No,No,No
30,Male,Singapore,Sometimes,Yes,Not sure,Maybe,No,No,Yes,No,Yes
29,Male,United States,Rarely,Yes,No,Yes,Maybe,No,No,Don't know,No
30,Male,United States,Often,Yes,Not sure,No,No,No,Maybe,Yes,No
35,Male,United States,Never,Yes,No,No,No,Maybe,Maybe,Yes,No
35,Male,United States,Rarely,No,Yes,Yes,No,No,Maybe,No,No
38,male,Netherlands,Often,Yes,Not sure,Maybe,Maybe,Maybe,Maybe,Don't know,No
22,Male,United Kingdom,Sometimes,Yes,Yes,No,No,Maybe,Yes,Yes,No
24,m,Germany,Sometimes,Yes,No,No,No,No,Maybe,Don't know,No
22,M,Netherlands,Never,Yes,Not sure,No,Maybe,Maybe,Yes,No,Yes
31,Female,United States,Often,Yes,Yes,Maybe,No,No,Yes,Don't know,No
23,female,United States,Sometimes,Yes,Yes,Yes,Maybe,No,No,Don't know,No
31,Female,United States,Sometimes,Yes,No,No,No,No,No,Don't know,No
28,Female,United States,Rarely,Yes,Yes,Maybe,No,No,No,No,No
37,Guy (-ish) ^_^,Canada,Sometimes,No,Yes,Yes,Maybe,No,Maybe,No,No
34,male,United States,Sometimes,Yes,Yes,No,No,No,No,No,No
